file,avg_travel_time,median_travel_time,p90_travel_time,hour,high_congestion
matonwalk-1081.csv,4966.34,4768.5,8097.0,10.0,1
matonwalk-1082.csv,5020.82,4554.0,8102.600000000004,10.0,1
matonwalk-1083.csv,4826.94,4458.0,7733.300000000002,10.0,1
matonwalk-1084.csv,5066.78,4516.5,8113.9000000000015,10.0,1
matonwalk-1085.csv,4499.01,4203.0,6925.0,10.0,0
matonwalk-1086.csv,4145.1,4173.0,5930.9000000000015,10.0,0
matonwalk-1087.csv,4227.76,4329.5,6019.300000000001,10.0,0
matonwalk-1088.csv,4452.24,4415.5,6494.3,10.0,0
matonwalk-1089.csv,4692.09,4693.0,6935.500000000001,10.0,0
matonwalk-109.csv,4506.31,4730.0,6204.4,10.0,0
matonwalk-1090.csv,5871.03,5392.0,9186.5,10.0,1
matonwalk-1091.csv,6425.78,6147.5,9545.4,10.0,1
matonwalk-1092.csv,7366.72,7128.5,10389.700000000003,10.0,1
matonwalk-1093.csv,6565.46,6088.0,10558.600000000002,10.0,1
matonwalk-1094.csv,7440.56,7023.5,12391.600000000008,10.0,1
matonwalk-1095.csv,8607.8,7998.0,17116.100000000002,10.0,1
matonwalk-1096.csv,9194.32,7333.5,18981.600000000002,10.0,1
matonwalk-1097.csv,10473.93,8600.0,20259.8,10.0,1
matonwalk-1098.csv,11133.36,8600.0,21631.8,10.0,1
matonwalk-1099.csv,12081.33,8600.0,23166.0,10.0,1
matonwalk-11.csv,4227.11,3859.0,7236.700000000002,11.0,0
matonwalk-110.csv,5057.69,5182.0,7145.300000000001,11.0,1
matonwalk-1100.csv,8897.41,6152.0,18686.800000000003,11.0,1
matonwalk-1101.csv,7628.35,5689.0,17635.000000000004,11.0,1
matonwalk-1102.csv,4148.02,4144.0,6204.0,11.0,0
matonwalk-1103.csv,4148.02,4144.0,6204.0,11.0,0
matonwalk-1104.csv,4148.02,4144.0,6204.0,11.0,0
matonwalk-1105.csv,4148.02,4144.0,6204.0,11.0,0
matonwalk-1106.csv,4148.02,4144.0,6204.0,11.0,0
matonwalk-1107.csv,13559.02,5386.0,35339.8,11.0,1
matonwalk-1108.csv,13183.98,4927.0,37019.100000000006,11.0,1
matonwalk-1109.csv,13747.49,4926.0,40023.00000000001,11.0,1
matonwalk-111.csv,5240.09,5415.5,7095.1,11.0,1
matonwalk-1110.csv,14551.96,4926.0,41586.0,11.0,1
matonwalk-1111.csv,18600.87,5274.0,42307.700000000004,11.0,1
matonwalk-1112.csv,25376.49,25673.0,42553.0,11.0,1
matonwalk-1113.csv,27435.38,25673.0,42666.40000000001,11.0,1
matonwalk-1114.csv,4187.58,4084.0,6625.900000000001,11.0,0
matonwalk-1115.csv,3748.06,3847.5,5709.900000000005,11.0,0
matonwalk-1116.csv,4217.91,4210.5,6204.0,11.0,0
matonwalk-1117.csv,4271.77,4474.0,5926.100000000001,11.0,0
matonwalk-1118.csv,4388.88,4380.0,6213.3,11.0,0
matonwalk-1119.csv,4362.64,4418.0,6128.400000000001,11.0,0
matonwalk-112.csv,4715.11,4893.0,6571.8,11.0,0
matonwalk-1120.csv,4161.97,4250.5,6026.900000000001,11.0,0
matonwalk-1121.csv,3431.37,3327.5,5198.400000000001,11.0,0
matonwalk-1122.csv,3141.32,3012.0,4873.200000000001,11.0,0
matonwalk-1123.csv,3271.13,3227.5,4744.8,11.0,0
matonwalk-1124.csv,2932.43,2844.0,4393.3,11.0,0
matonwalk-1125.csv,2843.57,2835.5,4439.400000000001,11.0,0
matonwalk-1126.csv,3349.23,3205.0,5065.400000000001,11.0,0
matonwalk-1127.csv,4261.84,4122.0,6119.400000000002,11.0,0
matonwalk-1128.csv,4744.03,4473.0,6790.1,11.0,1
matonwalk-1129.csv,5408.08,5109.0,7542.600000000004,11.0,1
matonwalk-113.csv,4133.93,4195.0,5762.5,11.0,0
matonwalk-1130.csv,5818.03,5508.5,9050.300000000003,11.0,1
matonwalk-1131.csv,5731.18,5604.5,8759.200000000004,11.0,1
matonwalk-1132.csv,5805.68,5552.5,9241.500000000015,11.0,1
matonwalk-1133.csv,5952.64,5468.5,9029.900000000001,11.0,1
matonwalk-1134.csv,5936.05,5219.0,9924.400000000001,11.0,1
matonwalk-1135.csv,6274.49,5625.0,10836.800000000001,11.0,1
matonwalk-1136.csv,5941.41,5191.5,10228.800000000001,11.0,1
