stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon
0100RCN,6,1,2,1,Ruaka Catholic Church Entrance,-1.20614,36.78059
0100REE,6,1,1,1,PCEA Ndenderu,-1.195537216,36.75203025
0100RES,6,1,4,1,Runda Estate Entrance,-1.21873,36.80177
0100RES,7,1,1,1,Runda Estate Entrance,-1.21873,36.80177
0100RGH,6,1,3,1,Jamhuri High School,-1.272203922,36.82239532
0100RJI,6,1,1,1,Ruiru Road Junction,-1.152105331,36.9199419
0100RKH,6,1,4,1,Runda/Karura Carwash,-1.22091,36.80144
0100RKH,7,1,1,1,Runda/Karura Carwash,-1.22091,36.80144
0100RRD,6,1,2,1,Ruaka Redeemed Gospel Church,-1.20651,36.78206
0100RRJ,6,1,3,1,Redhill Road Junction,-1.23398,36.80339
0100RRJ,7,1,2,1,Redhill Road Junction,-1.23398,36.80339
0100RRP,6,1,4,1,Rosslyn Road/Karura Community Chapel,-1.216397882,36.79927468
0100RRP,7,1,1,1,Rosslyn Road/Karura Community Chapel,-1.216397882,36.79927468
0100RUD,6,1,1,1,Runda Road,-1.215553,36.814957
0100RUI,6,1,1,1,Marurui/JuaKali,-1.211281747,36.87443823
0100RYA,6,1,2,1,Rumenye,-1.199644804,36.75815105
0100S/R,7,1,1,1,Rosslyn Road/Riviera,-1.217128962,36.80043072
0100SAR,6,1,1,1,Car Wash,-1.217005616,36.77721083
0100SHT,6,1,2,1,Sacred Heart,-1.186278,36.767456
0100SKU,6,1,1,1,Kibutu Stage,-1.188273758,36.77131802
0100SLG,6,1,2,1,Slaughter/Bypass,-1.20578,36.78005
0100SNW,6,1,1,1,Good News/Nyari Gate 2,-1.225479841,36.79151773
0100STI,6,1,1,1,Site,-1.178033084,36.7224589
0100T1I,6,1,1,1,Barrier 1/Nyari Gate 1,-1.226568818,36.79569393
0100TCP,6,1,3,1,Total/City Park,-1.25943,36.82673
0100TCP,7,1,2,1,Total/City Park,-1.25943,36.82673
0100TIG,6,1,1,1,Tigoni,-1.126686,36.671788
0100TOR,6,1,1,1,Metro,-1.215183198,36.85956538
0100TPS,6,1,1,1,Post,-1.149687499,36.94552481
0100TTM,6,1,2,1,Total/Muchatha,-1.193078,36.777371
0100UBP,6,1,1,1,Bumps,-1.206464499,36.78183764
0100UEA,7,1,1,1,Delta Petrol Station Ruaka/Border,-1.208792657,36.78792626
0100UMA,6,1,1,1,Munata,-1.220374471,36.76839173
0100UMT,6,1,1,1,Makutano,-1.192345351,36.74523085
0100VDA,6,1,1,1,Victory Gospel/Sda,-1.19432,36.7429
0100VEV,6,1,2,1,Velvet Lounge/Kigwaru,-1.202782,36.785553
0100VIN,6,1,2,1,Victory Inn,-1.181773,36.762476
0100VLU,6,1,1,1,6th Parklands Avenue/Regal House/Kobil,-1.257893175,36.8269524
0100VLU,7,1,1,1,6th Parklands Avenue/Regal House/Kobil,-1.257893175,36.8269524
0100WSI,6,1,1,1,Nyari West,-1.225469112,36.78594947
0100XAM,6,1,1,1,Maxx,-1.182002753,36.72858506
0101AGA,6,1,6,1,Aga Khan Academy,-1.26628,36.82331
0101AKE,6,1,1,1,Aga Khan Entrance,-1.26178,36.82224
0101AKH,6,1,1,1,Aga Khan Hospital Junction/3rd Parklands Ave,-1.26288,36.8249
0101AKN,6,1,1,1,Kwa Nyama,-1.204490429,36.78601921
0101ALM,6,1,1,1,Amani Plaza/Almond Court,-1.25962,36.81717
0101AME,6,1,2,1,Ambassadors Entrance,-1.19804,36.75538
0101ARA,6,1,1,1,Garage,-1.222203738,36.78044558
0101ARC,6,1,1,1,Car Wash,-1.204839116,36.78251624
0101ARR,6,1,1,1,Nish Raaj/Mulberry,-1.257580519,36.81246042
0101ARY,6,1,1,1,Arya Girls' Secondary School,-1.26085,36.82007
0101BKH,6,1,1,1,Bypass Stage Kiambu,-1.215448,36.83521
0101BLU,7,1,1,1,Blue Kiosk Stage,-1.154688,36.675681
0101CAV,6,1,2,1,Church Of Acts/Velvet Lounge,-1.203525,36.785397
0101CEF,6,1,1,1,Kwa Chief,-1.216447681,36.8218857
0101CHC,6,1,2,1,Christco Church,-1.19628,36.75294
0101CHF,6,1,1,1,Sub Chief,-1.219799,36.778197
0101CPK,6,1,5,1,City Park,-1.26057,36.82615
0101DGG,6,1,1,1,Ridgesways Girls,-1.215046,36.864683
0101DPB,6,1,5,1,Delta Petrol Station/Border,-1.20918,36.7882
0101ETA,7,1,1,1,Marrieta,-1.143779,36.661749
0101FRK,6,1,2,1,Furaha/Kag Ndenderu/Catholic,-1.1954,36.75175
0101GOG,6,1,2,1,Guango,-1.195673,36.780783
0101GRJ,6,1,2,1,Gacharage Junction,-1.20041,36.76058
0101GVS,7,1,1,1,Green Valley School,-1.125007,36.677194
0101HMO,6,1,1,1,Chamoka,-1.218749052,36.77409947
0101HUS,6,1,1,1,SDA Church,-1.220481759,36.76972747
0101HWO,6,1,1,1,Mwisho Road,-1.222670442,36.78127706
0101IAI,7,1,1,1,Gwaiti,-1.18060112,36.7263186
0101IGA,6,1,1,1,Kahigo,-1.203356981,36.77130997
0101ION,7,1,1,1,Junction To Limuru Town,-1.133245,36.643564
0101IRR,6,1,1,1,River,-1.221822864,36.77986622
0101JAK,6,1,1,1,Jakai,-1.219745,36.772222
0101JHS,6,1,6,1,Jamhuri High School,-1.27335,36.82297
0101JLI,6,1,1,1,Jua Kali,-1.211161,36.874486
0101KAT,6,1,2,1,Kwa Njoki/Ack Thimbigwa,-1.183893,36.763636
0101KCK,7,1,1,1,Kenchic,-1.132763,36.697946
0101KHR,6,1,1,1,Kahawa Railways Roundabout,-1.185664,36.906667
0101KKB,6,1,1,1,Kamukabi,-1.222324,36.780623
0101KME,7,1,1,1,Kimera Medical Centre,-1.146608,36.716753
0101KOB,6,1,2,1,Kobil/Banana,-1.17466,36.759053
0101KTO,6,1,2,1,Kwa Moturi/Gachiraini,-1.20202,36.7662
0101LIK,6,1,2,1,Likoni,-1.178733,36.760654
0101LMA,6,1,1,1,Mlanda,-1.219961411,36.76738858
0101LMC,7,1,1,1,Limuru Catering,-1.124567,36.679518
0101LSC,6,1,2,1,Life Sanctuary Church/Muchatha Shopping Centre,-1.19145,36.775071
0101M.K,6,1,1,1,K.M.,-1.16617772,36.91985339
0101MCC,6,1,2,1,Muchatha Shopping Centre,-1.192055,36.775879
0101MCY,7,1,1,1,Mothers Mercys,-1.180059,36.725487
0101MDS,6,1,2,1,Muchatha Dispensary/Kwa Shule/Yamongo Drive,-1.189723,36.773257
0101MIC,6,1,2,1,Mary Immaculate Catholic Church/Muchatha Shopping Centre,-1.190698,36.774211
0101MIM,6,1,1,1,Mimosa,-1.212005,36.804767
0101MKB,6,1,2,1,Mkulima Supermarket/Banana,-1.175287,36.759291
0101MOM,6,1,2,1,Mombasa,-1.177906,36.760269
0101MRB,7,1,1,1,Maramba Tea Factory,-1.134492,36.703458
0101MTH,6,1,1,1,Muthaiga Junction,-1.228633,36.798518
0101MUC,6,1,2,1,Redeemed/Pefa Muchatha,-1.197213,36.782874
0101N'G,6,1,1,1,Kwa Ng'ang'a,-1.217756635,36.77814424
0101NDJ,6,1,1,1,Ndenderu Junction/Makutano,-1.192266,36.743758
0101NGG,6,1,1,1,Nyari Gate 3,-1.225371,36.785596
0101NJK,6,1,2,1,Kwa Njoki Kamili,-1.184899,36.764492
0101NRE,6,1,1,1,Nish Raaj Estate,-1.25862,36.81484
0101NRP,6,1,1,1,Roundabout Eastern Bypass,-1.155165,36.926129
0101NTO,6,1,2,1,Kwa Kanisa ACK/National Oil,-1.193291,36.777536
0101NYG,6,1,1,1,Nyari Gate 2,-1.225544,36.791386
0101NYP,6,1,1,1,Nyari Police,-1.225594,36.787764
0101NYR,6,1,1,1,Nyari/Barrier 1,-1.226487,36.795583
0101OOO,6,1,1,1,Githogoro,-1.216517419,36.82500243
0101OTA,6,1,1,1,National Oil,-1.193820602,36.74957335
0101PMR,6,1,2,1,Pm Flats/ Runda View,-1.20429,36.77439
0101PMV,6,1,2,1,Pm Flats/ Runda View 2,-1.20369,36.77218
0101POW,6,1,1,1,Power,-1.217477,36.778214
0101RCC,6,1,2,1,Ruaka Catholic Church,-1.2062,36.78055
0101RCK,6,1,2,1,Ruaka ACK Church,-1.20676,36.78382
0101RDC,6,1,2,1,Ruaka DC,-1.2065,36.78171
0101RED,7,1,1,1,Red Hill/Posta,-1.17081,36.708554
0101REE,6,1,5,1,Runda Estate Entrance,-1.2186,36.80168
0101REN,6,1,2,1,Redeemed Ndenderu,-1.19238,36.74504
0101RIE,7,1,1,1,Limuru Diaries,-1.125841,36.642507
0101RIH,6,1,1,1,Commissioner of Higher Education,-1.227861643,36.79806501
